Word;Frequency;%
the;1090;3.41137
and;964;3.01703
to;742;2.32223
of;675;2.11254
i;577;1.80583
a;558;1.74637
you;554;1.73385
my;520;1.62744
in;434;1.35829
it;419;1.31134
that;389;1.21745
ham;358;1.12043
is;346;1.08287
not;315;0.985854
his;304;0.951427
this;300;0.938908
with;277;0.866925
but;274;0.857536
for;250;0.782424
your;242;0.757386
me;234;0.732349
as;227;0.710441
lord;225;0.704181
be;223;0.697922
he;213;0.666625
what;208;0.650976
him;197;0.61655
king;196;0.61342
so;196;0.61342
have;183;0.572734
will;172;0.538307
do;151;0.472584
no;142;0.444417
we;140;0.438157
are;132;0.41312
on;128;0.400601
o;124;0.388082
all;123;0.384952
our;120;0.375563
queen;120;0.375563
or;115;0.359915
if;114;0.356785
shall;114;0.356785
by;111;0.347396
good;109;0.341137
hor;109;0.341137
come;107;0.334877
hamlet;107;0.334877
thou;105;0.328618
they;101;0.316099
now;98;0.30671
let;96;0.300451
from;95;0.297321
more;95;0.297321
her;91;0.284802
how;90;0.281673
well;90;0.281673
at;87;0.272283
pol;86;0.269154
thy;86;0.269154
was;84;0.262894
most;82;0.256635
like;81;0.253505
would;81;0.253505
there;77;0.240986
sir;75;0.234727
know;74;0.231597
them;74;0.231597
enter;73;0.228468
tis;73;0.228468
th;72;0.225338
go;71;0.222208
may;71;0.222208
us;70;0.219079
did;66;0.20656
love;66;0.20656
very;66;0.20656
hath;65;0.20343
then;65;0.20343
which;64;0.2003
why;64;0.2003
speak;63;0.197171
ill;62;0.194041
laer;62;0.194041
must;61;0.190911
give;60;0.187782
thee;59;0.184652
oph;58;0.181522
their;57;0.178393
am;56;0.175263
an;56;0.175263
should;56;0.175263
such;56;0.175263
when;56;0.175263
here;55;0.172133
make;55;0.172133
upon;55;0.172133
out;54;0.169004
say;54;0.169004
where;54;0.169004
some;53;0.165874
father;52;0.162744
man;52;0.162744
than;50;0.156485
too;50;0.156485
much;48;0.150225
horatio;47;0.147096
one;47;0.147096
she;47;0.147096
these;47;0.147096
think;47;0.147096
laertes;46;0.143966
time;46;0.143966
heaven;45;0.140836
play;45;0.140836
ros;45;0.140836
see;45;0.140836
had;44;0.137707
who;44;0.137707
tell;43;0.134577
thus;43;0.134577
yet;43;0.134577
exit;40;0.125188
mother;39;0.122058
own;39;0.122058
up;39;0.122058
ay;38;0.118928
death;37;0.115799
exeunt;37;0.115799
look;37;0.115799
nor;37;0.115799
clown;36;0.112669
night;36;0.112669
polonius;36;0.112669
take;36;0.112669
both;35;0.109539
again;34;0.10641
can;34;0.10641
ghost;34;0.10641
soul;34;0.10641
life;33;0.10328
could;32;0.10015
god;32;0.10015
